id,source,date,text,keep_for_gold,relevance_score,primary_signal,rationale,noise_category
15,app_store,2026-08-01,Stylecast x kotty. It’s so comfy and the fabric is so good,True,100,liked_look,saved because it's comfy and the fabric is good,
16,app_store,2026-07-26,"Myntra. ⭐⭐⭐⭐⭐ Excellent product! Good quality, exactly as shown in the pictures. Fits perfectly and delivery was on time. Highly recommended!",True,100,quality_confirmed,"good quality, fits perfectly, and delivery was on time",
17,youtube,2026-07-02,Nice and you can see my account for beautiful frocks like this,True,100,liked_look,Saved a frock they liked and showed their account,
18,youtube,2026-06-17,Link for first white dress,True,100,liked_look,Saved a dress they liked,
19,youtube,2026-06-16,Please silver dress ka link share kr dijiye,True,100,quality_doubt,"User is asking for a specific product link, indicating uncertainty about the product's availability or quality.",
20,youtube,2026-05-19,"i loved the sunglasses from brand ROYALTAIL, Thanks for your suggestions and review, Ordered and wearing now such a heavy quality. ❤❤🎉🎉",True,100,quality_doubt,Ordered and wearing now such a heavy quality.,
21,youtube,2026-01-28,All the link provided by you are of different items…except two none of them matched with link of product provided…stop fooling for views only,True,100,quality_doubt,"Reviewer suspects the seller is providing fake links, indicating quality doubt.",
22,youtube,2026-01-15,Mintra फ्रॉड है mintra फ्रॉड है mintra फ्रॉड है mintra फ्रॉड है mintra फ्रॉड है mintra फ्रॉड है mintra फ्रॉड है mintra फ्रॉड है mintra फ्रॉड है mintra फ्रॉड है मेरा पैसा खा गया खाली डब्बा भेजा था मुझे न तो समान भेजा न मेरा पैसा वापस किया 😢😢,True,100,quality_doubt,Experienced issues with missing products and non-refund,
23,youtube,2025-12-01,2nd pink dress was awesome,True,100,liked_look,"User is expressing enthusiasm for a specific product, indicating they liked how it looked.",
24,youtube,2025-11-21,It’s advise be careful there is better platforms where you can shop like Nayka and all but Myntra just fraud,True,100,price_hesitation,Mentioned better platforms and hesitation to shop on Myntra,
25,youtube,2025-11-21,Myntra is fraud don’t shop from this,True,100,price_hesitation,Categorically stated Myntra is a fraud,
26,youtube,2025-11-17,Two number vala chhan aahe ❤❤,True,100,liked_look,"Customer is expressing enthusiasm for the product, indicating they like the look.",
27,youtube,2025-11-01,Which size u wearing 🙏🙏,True,100,fit_uncertainty,"Customer is asking about the size of the product, indicating uncertainty about fit.",
28,youtube,2025-10-12,First white dress ka link please di kr dijiye send,True,100,quality_doubt,"User is asking for a specific product link, indicating uncertainty about the product's availability or quality.",
29,youtube,2025-10-05,You look better than the model of these shirts itself ❤❤❤❤,True,100,liked_look,Shopper thinks the model looks better than the shirt itself,
30,youtube,2025-09-26,Aditi just wanted to say a big thank you to you girl 🙏 You helped me pick some beautiful suits from Myntra for my friend’s wedding function . Swear to god your reviews were so real and not paid. I watched your videos and ordered 6 suits from Myntra and they turned out to be amazingly beautiful. So thank you once again ❤. Love from 🇺🇸,True,100,quality_doubt,Reviewer found suits to be amazingly beautiful and ordered 6 from Myntra,
31,youtube,2025-09-17,2nd pink colour dress nahi hai didi 😢,True,100,fit_uncertainty,"User is expressing disappointment that a specific product is not available, indicating uncertainty about their fit.",
32,youtube,2025-06-13,Loved all the crop shirts🫶The styling is on point💕🤍Your fashion sense is always top-notch🤌🩷🩷,True,100,liked_look,Shopper loved the styling and fashion sense of the crop shirts,
33,youtube,2025-06-12,PRODUCTS ARE TAGGED 🤍 Shirts Size: S Jeans Size: S (waist 28),True,100,size_uncertainty,Shopper is unsure about their size (S) and waist size (28),
34,youtube,2025-06-06,Terrrriiibbbllleeeee Had ordered it,True,100,liked_look,Expressed excitement and enthusiasm about the product,
35,youtube,2025-04-16,"Loved the blue printed one...please do a haul on Elegant Hush suits,they have very pretty collection.",True,100,liked_look,Reviewer loved the blue printed one and suggests a haul on Elegant Hush suits.,
36,youtube,2024-08-24,DressBerry Women Stunning Blue Mid-Rise Flared Cropped Stretchable Jeans (thank me later),True,100,liked_look,Reviewer liked the blue printed one.,
37,play_store,2026-08-28,worst e commerce app I have seen till now they take 10 days to deliver a thing and without any proper tracking and phone calls or messages and had a worst experience in my city gorakhpur hub I have their to collect my own order and they are finding my order and after 1 hours of waiting they said that looks like your order is packed may be or be with delivery agent we will inform you later and then the next day product has been cancelled and they the product has been lost..... not even 1 star,True,98,delivery_uncertainty,"Worst e-commerce app, poor delivery experience, no tracking or communication",
38,play_store,2026-08-29,The worst app I have ever seen the delivery service is the worst. The delivery was delayed like 5 times They always changed the date and when the delivery came I ordered shoes the box is totally crushed and the shoes are used and after the they asked review in app and I said about delivery services and primary package 📦 damaged they rejected my review and I give photos also but they not agree and the shoes 👟 also used and the customer care service also worst after this talk you using enjoy,True,95,quality_doubt,"Received damaged and used products, poor delivery service, rejected review",
39,app_store,2026-08-28,"Highly Recommended. ⭐⭐⭐⭐⭐ Excellent experience with Myntra! The product quality was really good, exactly as shown in the pictures. The fit and material were perfect, and the delivery was quick and hassle-free. Very happy with my purchase. Highly recommended! 👍",True,95,quality_doubt,"Product quality was really good, exactly as shown in the pictures, implying that quality is a concern",
40,play_store,2026-08-28,worst app delivers expired items in festival background even to Elite customers. with no policy for refund return .,True,95,quality_doubt,"Delivers expired items, no refund or return policy",
41,play_store,2026-08-27,"earlier myntra was really helpful, they delivered on committed time but nowadays I'm really disappointed with myntra extremely poor service, last month i ordered bottom for my infant but did not receive, i ordered blazer for myself again did not receive, 3-4 days ago I ordered one kurti which is i am planning to wear on Rakhi and the kurti is supposed to be delivered today but did not receive. I want my kurti by tomorrow if it will not be received I will never ever purchase from Myntra.",True,95,delivery_uncertainty,Expressed disappointment with repeated delivery failures and poor service.,
42,app_store,2026-07-13,Beautiful piece. Worth buying for the price it’s absolutely stunning piece.,True,95,price_hesitation,Worth buying for the price,
43,youtube,2026-06-21,Please dont shop from Myntra. They sent us a duster like torn cloth instead of pantaloon rangmanch kurti. I have lost my 1300 rs.,True,95,quality_doubt,Received a defective product and is unhappy with the product quality,
44,youtube,2026-01-07,Amazing gurl ❤..i just got addicted to ur elegant look ✨️ ... Could u please let me know ur height and weight approx.....so that i could order those perfectly in sizes.....,True,95,fit_uncertainty,Reviewer wants to know size information for perfect fit,
45,app_store,2025-12-13,"Anonymous. This is by far one of the worst shopping experiences I have ever had. The app is completely unprofessional, customer service is useless, and the overall quality is extremely poor. They misguided me about the delivery timeline, and due to my visa delay, I was unable to check the dress sizes on time — a situation I clearly explained multiple times. Despite the large number of return items and the huge amount involved, the support team showed zero empathy, zero flexibility, and zero willingness to listen. They behave as if customers don’t matter once payment is done. Messages go unanswered, explanations are ignored, and they hide behind rigid policies instead of handling genuine situations responsibly. This platform is NOT customer-friendly at all. It feels like they are trained to deflect responsibility rather than solve problems. I am now stuck with expensive items that I cannot use, entirely due to their misleading information and lack of support. Even basic retail services in the UK are far more professional, ethical, and customer-oriented than this app. This experience has been nothing short of mental harassment and financial stress. I strongly warn others: DO NOT BUY from this website/app. If something goes wrong, you will be left alone with no help, no response, and no accountability. I will be formally filing complaints on the app, payment provider, and consumer protection platforms, as this level of service is unacceptable.",True,95,quality_doubt,"Poor quality, unprofessional app, and useless customer service.",delivery_refund_service_complaint
46,youtube,2025-10-01,Hey was this genuine and authentic product? Can we trust myntra for buying luxury perfumes? And what about the performance and longevity of your perfume? Please reply,True,95,quality_doubt,"Asks about product genuineness and performance, implies quality concern",
47,youtube,2024-12-22,"Ye Highlander jeans maine 299 me kharidi h myntra se kal... Bhut kharab quality h dikhne me old dikhti h, d mart k 350 jeans jaisi h bilkul fark nhi pdta tm kha se kharidtey ho, useless product h, don't waste your money on it",True,95,quality_doubt,Reviewer found the Highlander jeans to have poor quality and compared it with a similar product from D Mart.,
48,play_store,2026-08-29,Such a pathetic delivery service from Myntra. Usually it takes a minimum of 7-10 Days for delivery but it's been 1 week after my usual delivery date and still the order hasn't reached my home. Whenever I call the helpline they always need 24-48 hours to solve the problem and even after 48 hours they won't even update on our problem. Never going to use Myntra again in my life. Their delivery of products sucks. Please deliver my orders. Zero updates from customer service department.TERRIBLE MYNTRA,True,90,delivery_uncertainty,Poor delivery service and lack of updates caused dissatisfaction.,delivery_refund_service
49,play_store,2026-08-29,"My order was never delivered, but Myntra marked it as delivered. There was no OTP, no call from the delivery executive and no recipient confirmation. I repeatedly contacted customer support, but my tickets were closed without resolving the issue. Myntra now claims its internal investigation shows the order was delivered but refuses to provide any proof, calling it “confidential.”I was even asked to schedule a return, despite never receiving the product.Very pathetic service by myntra avoid this",True,90,delivery_issue,Delivery issues can cause purchase hesitation.,
50,play_store,2026-08-29,yah bahut hi bekar bekar app Abhishek se galti se bhi Saman mat mangae product jo bhi mangoge aap khud pachtaoge yah company pahle to itna achcha achcha dikhati Hai light mein aur FIR itne bekar product aate Hain ki Ham pen bhi nahin sakte isko pante hi bhikhari ki tarah lagte Hain main is per ek Shayar bhi nahin Dena chahta lekin kam se kam ektari hai isliye main kam se kam ek story de raha hun aur mera yah manana hai kis app Se kabhi bhi Saman mat khariden aap dusre app ja sakte hai,True,90,quality_doubt,"Received poor quality products, misleading product images, unhappy with the service",
51,play_store,2026-08-29,"Very disappointing experience with Myntra. We received the wrong product and raised a replacement request. The delivery guy collected it, but it never got properly updated in the system. It’s been two weeks and we still haven’t received the replacement or refund. Customer support is honestly useless. Every time it’s just “sorry” and scripted responses, but nobody actually resolves the issue. No proper update, no action, nothing. Very poor service and honesty not trustworthy",True,90,quality_doubt,"received wrong product, poor customer support",quality_doubt
52,play_store,2026-08-29,"I ordered this product from Myntra, and they delivered a product that was already around two years old. Despite contacting customer support immediately, I was first assured that a return would be arranged. After 7–8 days of repeated follow-ups, I was suddenly told that customer support has no authority to arrange the return. The communication has been completely inconsistent and disappointing.",True,90,delivery_issue,Mentioned a delivery issue and inconsistent customer support,
53,play_store,2026-08-29,"it is add free it is less expensive the products in this app are less expensive you can even buy costly items even in low price this app is so good you can rate the product and earn money cash which will be add to your wallet so that you can purchase it later discounting the money, it is simple easy to use, the dresses in this app are so gorgeous, I am so in love with Myntra, must download it",True,90,price_hesitation,can even buy costly items even in low price,
54,play_store,2026-08-29,"This service has really worst these days. Cancelling without consent, not delivering and keeping it for 2 months, no proper explanation no problem remedy from Myntra side. What I got is frustration not service",True,90,delivery_complaint,"cancelling without consent, not delivering",
55,play_store,2026-08-29,"⭐⭐⭐⭐⭐ Product bahut achha hai. Quality bhi kaafi good hai aur exactly jaisa image mein dikhaya tha, waisa hi mila. Fitting aur material dono perfect hain. Overall, product se bahut satisfied hoon. ❤️",True,90,fit_quality_price,"perfect fit, quality, and material, satisfied with the product",
56,play_store,2026-08-29,Customer service is non existent. Distraught after the useless experience. Myntra has now become the least trustworthy. No promise delivered & misleading customers.,True,90,trust_doubt,poor customer service and misleading promises,
57,play_store,2026-08-28,"I’m extremely disappointed with this experience. I received an email saying a delivery was attempted, despite never receiving a call or any communication from the delivery agent. I tried calling them multiple times using the provided PIN, but my calls were ignored. The Myntra callback was only automated with no way to reach support, and the chat keeps disconnecting. This has caused unnecessary stress, wasted my time, and disrupted my plans.I expect a clear explanation and an immediate resolution",True,90,delivery_uncertainty,"delivery issues, communication problems, and stress caused",
58,play_store,2026-08-28,worst experience ever and no support,True,90,quality_doubt,Worst experience ever and no support,
59,play_store,2026-08-28,"they are scammers fraudsters, I know ki 1 rating se tum logo ka kuch nahi hoga but agar 1 person bhi is baat ko samjh lega to mera issue describe karna worth it hoga, first of all they applied platform fee on each product when you are going to buy something then you have to pay that platform fee along with your product charge, after that agar aap us product ko return karte like size issue nd all then ye apko product charges hi return karenge platform fees nahi.",True,90,price_hesitation,"Platform fee applied on each product, return policy not customer-friendly.",
60,play_store,2026-08-28,the worst app you can use. please don't order anything from it . delivery is always late and wrong products are given the worst experience one can face. please use Amazon it's the best app. I ordered crocs worth 6k size 10 they are always sending me size 11 I have complained atleast 14-15 times. please don't ever think to buy anything from here,True,90,price_hesitation,"complained about wrong products and late delivery, prefers Amazon",complaint_with_purchase_signal
61,play_store,2026-08-28,"The watch looked great initially, but within 4 to 5 days, it started losing time due to a faulty battery. To make matters worse, the black color coating has already started peeling off. Unfortunately, by the time these issues appeared, the return window had closed. Very disappointing and poor quality product. Waste of money.",True,90,quality_doubt,Faulty battery and peeling color coating led to disappointment and wasted money.,
62,play_store,2026-08-28,myntra is now becoming fraud. they do not refund. it happened to me before. i returned a product it was showing that money has been credited to my account. but did not reflect in my account. it also gave a reference no. so i went to bank and they could not find a reference no.,True,90,price_hesitation,Myntra is perceived as a fraudulent platform due to refund issues.,
63,play_store,2026-08-28,"Poor Service The order was marked as delivered even though I never received it. I raised the issue, but no proper action or resolution was provided. Very disappointing service and poor customer support.",True,90,quality_doubt,"Poor service, order marked as delivered but not received",
64,app_store,2026-08-28,Amazing shopping store for fabrics. Amazing collection where I couldn’t find anywhere with best quality - this is the only store we have where we get amazing quality with best Prices,True,90,quality_doubt,"Best quality with best prices, implying that Myntra is the only store with such quality at affordable prices",
65,play_store,2026-08-28,totally fraud platform i ordered for a dress they s3nd a totally different product and then refused to return. saying we delivered the product you ordered. totally fraud,True,90,quality_doubt,"totally fraud platform, received different product",scam
66,app_store,2026-08-28,Hang bag. It’s really good and must buy,True,90,must_buy,Reviewer considers the product a must-buy.,
67,play_store,2026-08-27,"For starters, it took so long to process my order; when I checked, I was told it would arrive on the 27th, but then it was suddenly cancelled. I couldn't wear the clothes for the occasion I had planned for, and I’m really unhappy with my experience with Myntra this time.",True,90,occasion_mismatch,Expressed disappointment with delayed order and missed occasion.,
68,play_store,2026-08-27,good product but not long lasting,True,90,quality_doubt,"Product not long lasting, indicating quality concerns.",
69,youtube,2026-08-23,May I get the link for the top you wore In the start? ( That pastel beige),True,90,style_inspiration,wanted to know about the top worn in the video,
70,youtube,2026-08-07,Ye bahut hi bura aps h ispe mne kurti set magaya lekin myntra ne duppta missing bheja 2august ko abhi tak mera exchange nhi kia myntra ne,True,90,quality_doubt,Received a defective product and is unhappy with the exchange process,
71,app_store,2026-08-01,Amazing top. Loved this too good quality great fit. as shown in pictures,True,90,quality_doubt,Too good quality great fit,
72,youtube,2026-07-13,I have to buy this Kurti set,True,90,liked_look,"Customer wants to buy the Kurti set, indicating they like the look.",
73,app_store,2026-07-08,Very very baddd. Purchase from Flipkart ✅but don’t from Myntra❌ . Myntra deliver the product and in replace it bring another brand and didn’t replace it and decline my request,True,90,comparison_behavior,purchase from Flipkart but not from Myntra,
74,app_store,2026-06-27,"Great product. The quality of the product is too good, definitely recommend it!",True,90,quality_doubt,Quality of the product is too good,
75,youtube,2026-06-21,Please dont shop from Myntra. They sent us a duster like torn cloth instead of pantaloon eangmanch kurti. I have lost my 1300 rs.,True,90,quality_doubt,received a defective product,
76,youtube,2026-06-02,"Don’t move so fast , let the audience see the exact item clearly",True,90,fit_uncertainty,Wants to see the item clearly before buying,
77,app_store,2026-05-17,Got what I wanted. Excellent quality. Good fit.,True,90,fit_quality,Excellent quality and good fit.,
78,youtube,2026-04-17,Fabric khtam hai bhai ek dum,True,90,quality_doubt,"Mentions fabric is finished, implies quality concern",
79,youtube,2026-03-23,Myntra company ek number ka froad hai mere Sath bhi₹2607 scam kar liya Havells fan ke jagah mere ko Khaitan ka purana fan courier wala dekhe Chala Gaya aur return bhi nahin kar raha,True,90,quality_doubt,Scammed by Myntra with a fake product,
80,youtube,2026-03-22,I also received wrong product from Myntra Do not order from them No solution for wrong product delivery They are denying the request irrespective of proofs Shame on you myntra,True,90,delivery_issue,I also received wrong product from Myntra Do not order from them No solution for wrong product delivery They are denying the request irrespective of proofs Shame on you myntra,
81,youtube,2026-03-12,Bai apke link me jake check kiya lekin ye sab 3400 k kareeb ata he myntra me,True,90,price_hesitation,Product price is too high on Myntra,
82,app_store,2026-01-20,Amazing stuff with amazing discounts. I got an amazing pair of jeans on half price. Have had an amazing experience since I started using the app,True,90,price_hesitation,Mentioned 'amazing discounts' and 'half price' which indicates price hesitation,
83,app_store,2025-12-29,"Worst app and customer experience. I ordered items to my address. For one of the items I could not place a return during the return window, because the app kept showing an internal error. I raised a concern and they said they will help resolve this even if its after the return period. Now they have stopped delivering to my postcode for some reason and are giving this excuse as the reason why it cant be returned. Customer service ends the chat in a second if we dont respond, and they take ages to reply. BUGGY app and TERRIBLE customer service. Please dont use this app",True,90,quality_doubt,"App issues with returns and delivery, poor customer service.",
84,app_store,2025-12-02,Awesome. Great look and fantastic fabric,True,90,liked_look,Great look and fantastic fabric.,
85,youtube,2025-11-10,Mene socha ki chalo finally kisi ne sirf packaging kholane me time waste mahi kiya but tumne tumne bhi main product bataya hi nahi achhe se 😢😂,True,90,price_hesitation,"Mentioned that the product was not shown properly, implying price hesitation due to lack of information",
86,youtube,2025-10-30,Ye pink color ka sweater...Kitna accha lga h turant khareed lu socha...fir har ek state..district ka pincode Daal diya...not deliverable h ..behen tum kaha se ho...or kaise hi milega ye Mujhe😭,True,90,price_hesitation,Customer was interested in buying but was deterred by delivery issues.,
87,youtube,2025-10-22,"They are really premium looking suits, can you please add the links to them",True,90,quality_doubt,Doubts about quality,
88,youtube,2025-09-23,None of them are premium looking 😕,True,90,quality_doubt,Doubts about quality,
89,app_store,2025-09-12,Liked it. Bought it for my DD and I absolutely like it perfect fit and goes well with party’s,True,90,fit_uncertainty,perfect fit and goes well with parties,
90,youtube,2025-07-17,Got kurti from meesho but its quality is not good,True,90,quality_doubt,quality is not good,
91,youtube,2025-06-13,Diii aap itne aache clothes btate ho jo hum afford hi ni kr payenge 1 top 500 ka,True,90,price_hesitation,"Customer explicitly stated they cannot afford the item, indicating a price barrier.",
92,youtube,2025-06-12,Diiiii aap itne sundar sundar clothes dikhate ho vo honestly review dete ho ya fir promotion karte ho I am confused because aap intniiì sundar sundar kaha se dund late ho very pretyyyy ... I watch your videos and I have your subscriber alsoooo ❤🎉,True,90,quality_doubt,Reviewer is confused about whether reviews are genuine or promotional,
93,youtube,2025-04-21,"The moment you appeared in that gorgeous Indian ethnic dress, it was like the fabric had fallen in love with you. Every detail hugged you like it was meant to—elegant, timeless, and so breathtakingly you.✨💫",True,90,fit_uncertainty,"Reviewer admires the dress's fit on the model, implying they might be looking for similar fit.",
94,youtube,2025-03-17,Quality aur colour multiple wash ke baad hi pata chalata h mostly kapde thoday samay ke liye hi ache hote h,True,90,quality_doubt,quality and color are only visible after multiple washes,
95,youtube,2024-10-20,This cost 248 not 127 (almost double of the amount) you mentioned in your caption.,True,90,price_hesitation,The product's price is almost double of what was mentioned in the caption.,
96,youtube,2024-10-19,Ab pehen ke nahi dkhiayogi to fitings a kaise pata chalega,True,90,fit_uncertainty,The reviewer expresses concern about how the product will fit without trying it on.,
97,youtube,2024-10-05,I got a almost 3000 rs vintage jeans from myntra for 474 rs because of coupon and sale discounts,True,90,price_hesitation,Saved money with coupon and sale discounts.,
98,app_store,2026-08-28,"Office bag. I really loved this vanity bag. The quality is good, the design looks elegant, and it has enough space to keep my makeup and daily essentials organized. It is lightweight and easy to carry, making it perfect for office and daily use. Overall, a very useful and stylish bag. Totally worth the price! ❤️",True,85,price_hesitation,"Totally worth the price, implying that the reviewer was hesitant about the price but found it reasonable",
99,play_store,2026-08-28,myntra Sent me used & different colour shirts and I raised return than decline return request myntra is now doing a fraud like a fraud apps in social media platforms,True,85,quality_doubt,received used & different colour shirts,scam
100,youtube,2026-08-01,Yrr ye top available hai kahi to yrr help kro guys meri 😭 meri bestie ko cahiye,True,85,style_inspiration,wanted to buy a top for her bestie,
101,app_store,2026-07-27,"Beautiful Kurta. Excellent material, perfect match",True,85,quality_doubt,Excellent material,
102,app_store,2026-06-15,Nice one. Its a too good dress Must buy for indian styling,True,85,liked_look,Must buy for indian styling,
103,app_store,2026-04-24,"Comfortable. Quality was very nice, fabric is very soft and comfortable, usually polyester will be little rough on the skin but this is very soft.",True,85,quality,"Quality was very nice, fabric is very soft and comfortable.",
104,app_store,2026-03-20,Perfect fit. Bought for my mother and she loved the colour and the saree material. The colour is absolutely amazing (teal) and special occasion wear.,True,85,occasion_mismatch,Reviewer mentions 'special occasion wear' which implies they are concerned about occasion,
105,youtube,2025-12-27,How much did this cost. How much sale can we usually expect at big sale time?,True,85,price_hesitation,"Asks about sale prices, implies hesitation due to cost",
106,youtube,2024-10-19,"Quality looks cheap, these type of tops have soft material not polyester like this one",True,85,quality_doubt,"The product's quality looks cheap, and the material is not soft.",
107,youtube,2024-10-06,i got a 2999 rs cargo jeans from myntra for jusr 241 rs because of coupon and sale discounts and its also my first order,True,85,price_hesitation,Saved money with coupon and sale discounts on a first order.,
108,youtube,2024-09-07,Bhai ek bar wash karne par colour nikal jata hai,True,85,quality_doubt,Concern about color fading after washing,
109,play_store,2026-08-29,"I ordered a foot station brand ballerina and received a different brand. when I tried to exchange the size, the delivery agent denied the exchange as the app didn't accept the product received from them as it was a different brand and asked me to connect with the customer service loop. it is so frustrating when the customer service loop starts. why should I go in that loop when I am not responsible for the wrong brand received.",True,80,quality_doubt,"Received wrong brand, difficulty in exchanging, frustrating customer service experience",
110,play_store,2026-08-29,"worst experience today, this 30 mints and all bhai band krdo dukan apni ap bas normal 2 e days delivery hi rakho, today I wanted the delivery it got delayed and delayed for around 5 hours then got cancelled... worst experience ever I needed it after this also no reply on your email worst app",True,80,delivery_uncertainty,Delayed and cancelled delivery caused frustration.,delivery_refund_service
111,play_store,2026-08-29,don't buy anything from here they'll always manipulate you in prices but you compare to other site you'll found better price they'll will give coupon all time but it's not means price became less so don't be confused and don't try go at Ajio buy better product in good price.,True,80,price_hesitation,comparing prices with other sites like Ajio,
112,play_store,2026-08-29,Their Glam clam is literally SCAM. The moment you upload your photo they will take years to approve it so that you don't get a commission or any reward. Such a scam platform,True,80,quality_doubt,scam platform with poor photo approval process,scam_report
113,play_store,2026-08-29,A useless app my order got delayed and they gave me a fake ai call which clearly can't understand clearly terrible experience at least ajio is better,True,80,price_hesitation,comparing Myntra with Ajio,comparison_behavior
114,play_store,2026-08-29,it was great experience with myntra once I ordered a dress which I got as expected Thank you for not breaking my trust.❤️❤️❤️❤️ so much love from me,True,80,fit_uncertainty,ordered a dress which I got as expected,
115,play_store,2026-08-29,guys don't buy anything for this app. bad customer support. they don't give you attention and any solution. poor app,True,80,bad_customer_support,Customer support issues can be a purchase blocker.,
116,play_store,2026-08-29,very good app but i request you to give more discount and myncash and reduse delivery time and add grocery items,True,80,price_hesitation,requests for more discounts and faster delivery,
117,play_store,2026-08-29,I ordered a product the app cancelled the product. very bad experience.,True,80,cancelled_order,"app cancelled the product, very bad experience",
118,play_store,2026-08-29,amazing aap but prices of product is little bit high,True,80,price_hesitation,prices of product is little bit high,
119,play_store,2026-08-29,Good quality clothes with varieties and range.,True,80,liked_look,good quality clothes with varieties and range,
120,play_store,2026-08-29,soo beautiful I loved it....fabric very soft,True,80,liked_look,Found the product beautiful and loved the fabric.,
121,play_store,2026-08-29,very good quality under cheap prices,True,80,quality_doubt,Mentioned 'very good quality' which suggests a positive purchase decision,
122,play_store,2026-08-28,"The delivery experience is the worst, they will automatically cancel your order without inform you and this is not the one time scenario. Also customer care is pathetic... we are talking to the AI and never been able to resolve the issue.",True,80,delivery_issue,"Delivery experience is the worst, orders are cancelled without notice and customer care is unhelpful.",
123,play_store,2026-08-28,"Heyy..!! I'm syeda madiha I had ordered a dress from Myntra but it has not come for pickup yet and they are extending the date for 15 days. I messaged the customer care but there is no response from them, not even a call.",True,80,quality_doubt,No response from customer care after sales and delayed order pickup,
124,play_store,2026-08-28,"The worst app ever. They charge a lot, but the materials are not delivered on time. Even after raising a complaint, the issue is not resolved.",True,80,price_hesitation,"charged a lot, but materials not delivered on time",
125,play_store,2026-08-28,"This app is very bad, it does not deliver on time and gives bad product.",True,80,quality_doubt,app does not deliver on time and gives bad product,quality_doubt
126,play_store,2026-08-28,very bad customer service. No proper response from them after sales.,True,80,quality_doubt,Very bad customer service with no proper response,
127,play_store,2026-08-28,good products but color fade problem,True,80,quality_doubt,color fade problem with products,
